t_ms,x_mm,y_mm,theta_rad,lap
0,0.0,0.0,0.0001,1
10,29.91,-1.31,-0.0289,1
20,59.27,-4.28,-0.072,1
30,88.52,-8.19,-0.1028,1
40,117.75,-12.22,-0.1199,1
50,147.69,-15.41,-0.1094,1
60,177.98,-17.43,-0.0898,1
70,207.89,-18.97,-0.0831,1
80,236.85,-21.87,-0.1231,1
90,265.5,-26.87,-0.1761,1
100,293.71,-34.08,-0.2315,1
110,322.23,-42.45,-0.2546,1
120,351.11,-50.59,-0.2494,1
130,380.82,-57.85,-0.2336,1
140,411.3,-64.29,-0.2264,1
150,442.69,-70.61,-0.2299,1
160,474.42,-77.88,-0.2506,1
170,506.32,-86.67,-0.2722,1
180,538.28,-97.14,-0.2963,1
190,570.5,-108.48,-0.3071,1
200,603.43,-119.32,-0.297,1
210,637.33,-128.66,-0.2722,1
220,672.11,-136.58,-0.2496,1
230,707.46,-144.28,-0.2452,1
240,742.97,-153.34,-0.2627,1
250,778.4,-164.45,-0.2897,1
260,813.89,-176.89,-0.3061,1
270,849.98,-189.0,-0.2995,1
280,887.07,-199.43,-0.2749,1
290,925.28,-208.21,-0.2505,1
300,964.07,-216.65,-0.2445,1
310,1002.96,-226.46,-0.2612,1
320,1041.68,-238.52,-0.2882,1
330,1080.37,-252.04,-0.3054,1
340,1119.62,-265.27,-0.2999,1
350,1159.86,-276.68,-0.2757,1
360,1201.05,-286.17,-0.2509,1
370,1242.71,-295.19,-0.2438,1
380,1284.02,-305.51,-0.2597,1
390,1324.73,-318.05,-0.2868,1
400,1364.97,-332.06,-0.3047,1
410,1405.32,-345.71,-0.3003,1
420,1446.26,-357.43,-0.2766,1
430,1487.76,-367.09,-0.2514,1
440,1529.39,-376.05,-0.2433,1
450,1570.73,-386.27,-0.2583,1
460,1611.46,-398.68,-0.2853,1
470,1651.72,-412.65,-0.304,1
480,1692.07,-426.35,-0.3006,1
490,1732.99,-438.14,-0.2775,1
500,1774.47,-447.84,-0.2519,1
510,1816.13,-456.79,-0.2428,1
520,1857.52,-466.9,-0.2569,1
530,1898.28,-479.24,-0.2837,1
540,1938.57,-493.16,-0.3033,1
550,1978.91,-506.89,-0.3009,1
560,2019.82,-518.78,-0.2784,1
570,2061.28,-528.54,-0.2524,1
580,2102.95,-537.48,-0.2423,1
590,2144.35,-547.49,-0.2555,1
600,2185.16,-559.71,-0.2822,1
610,2225.44,-573.58,-0.3024,1
620,2265.76,-587.34,-0.3011,1
630,2306.61,-599.33,-0.2793,1
640,2348.05,-609.14,-0.253,1
650,2389.72,-618.06,-0.2419,1
660,2431.15,-627.99,-0.2542,1
670,2471.97,-640.08,-0.2807,1
680,2512.28,-653.88,-0.3016,1
690,2552.6,-667.7,-0.3013,1
700,2593.46,-679.76,-0.2801,1
710,2634.89,-689.64,-0.2536,1
720,2676.57,-698.53,-0.2415,1
730,2718.01,-708.36,-0.2529,1
740,2758.88,-720.35,-0.2791,1
750,2799.21,-734.1,-0.3007,1
760,2839.52,-747.92,-0.3015,1
770,2880.34,-760.08,-0.2809,1
780,2921.75,-770.03,-0.2542,1
790,2963.43,-778.92,-0.2412,1
800,3004.91,-788.67,-0.2516,1
810,3045.8,-800.55,-0.2775,1
820,3086.15,-814.26,-0.2997,1
830,3126.46,-828.1,-0.3015,1
840,3167.25,-840.33,-0.2817,1
850,3208.65,-850.35,-0.2548,1
860,3250.33,-859.22,-0.2409,1
870,3291.81,-868.87,-0.2503,1
880,3332.74,-880.63,-0.2759,1
890,3373.1,-894.25,-0.2987,1
900,3413.38,-908.11,-0.3016,1
910,3454.16,-920.42,-0.2825,1
920,3495.53,-930.49,-0.2554,1
930,3537.22,-939.35,-0.2406,1
940,3578.73,-948.92,-0.249,1
950,3619.69,-960.57,-0.2743,1
960,3660.08,-974.13,-0.2976,1
970,3700.36,-988.0,-0.3016,1
980,3741.11,-1000.38,-0.2832,1
990,3782.48,-1010.56,-0.2561,1
1000,3824.15,-1019.42,-0.2405,1
1010,3865.68,-1028.89,-0.2478,1
1020,3906.68,-1040.41,-0.2727,1
1030,3947.1,-1053.9,-0.2966,1
1040,3987.38,-1067.8,-0.3016,1
1050,4028.11,-1080.26,-0.284,1
1060,4069.47,-1090.5,-0.2569,1
1070,4111.14,-1099.34,-0.2403,1
1080,4152.7,-1108.74,-0.2467,1
1090,4193.71,-1120.15,-0.2711,1
1100,4234.14,-1133.55,-0.2955,1
1110,4274.42,-1147.45,-0.3015,1
1120,4315.15,-1159.98,-0.2848,1
1130,4356.48,-1170.31,-0.2576,1
1140,4398.15,-1179.19,-0.2403,1
1150,4439.72,-1188.5,-0.2456,1
1160,4480.79,-1199.81,-0.2696,1
1170,4521.26,-1213.14,-0.2944,1
1180,4561.54,-1227.06,-0.3014,1
1190,4602.22,-1239.68,-0.2855,1
1200,4643.54,-1250.08,-0.2584,1
1210,4685.2,-1258.98,-0.2403,1
1220,4726.78,-1268.22,-0.2445,1
1230,4767.87,-1279.42,-0.268,1
1240,4808.36,-1292.68,-0.2931,1
1250,4848.65,-1306.56,-0.3013,1
1260,4889.31,-1319.24,-0.2862,1
1270,4930.59,-1329.71,-0.2592,1
1280,4972.25,-1338.62,-0.2402,1
1290,5013.86,-1347.78,-0.2434,1
1300,5054.98,-1358.85,-0.2664,1
1310,5095.49,-1372.02,-0.2919,1
1320,5135.77,-1385.93,-0.301,1
1330,5176.42,-1398.69,-0.2869,1
1340,5217.68,-1409.23,-0.26,1
1350,5259.35,-1418.16,-0.2403,1
1360,5300.97,-1427.27,-0.2424,1
1370,5342.12,-1438.23,-0.2648,1
1380,5382.66,-1451.32,-0.2906,1
1390,5422.95,-1465.2,-0.3007,1
1400,5463.58,-1478.02,-0.2875,1
1410,5504.82,-1488.66,-0.2608,1
1420,5546.48,-1497.61,-0.2403,1
1430,5588.09,-1506.65,-0.2414,1
1440,5629.27,-1517.48,-0.2631,1
1450,5669.85,-1530.46,-0.2893,1
1460,5710.14,-1544.33,-0.3004,1
1470,5750.73,-1557.24,-0.2886,1
1480,5791.93,-1568.08,-0.2631,1
1490,5833.56,-1577.17,-0.2418,1
1500,5875.22,-1586.01,-0.2388,1
1510,5916.57,-1596.21,-0.2552,1
1520,5957.37,-1608.45,-0.2799,1
1530,5997.73,-1622.11,-0.2975,1
1540,6038.07,-1635.8,-0.2978,1
1550,6078.83,-1648.14,-0.2813,1
1560,6120.12,-1658.57,-0.258,1
1570,6161.76,-1667.57,-0.2407,1
1580,6203.44,-1676.35,-0.2379,1
1590,6244.81,-1686.14,-0.2505,1
1600,6285.12,-1697.5,-0.2715,1
1610,6324.42,-1710.22,-0.2907,1
1620,6363.21,-1723.55,-0.2994,1
1630,6401.56,-1736.28,-0.2944,1
1640,6439.7,-1747.55,-0.2778,1
1650,6477.97,-1757.15,-0.2569,1
