t_ms,pmw_dx_counts,pmw_dy_counts,gyro_z_dps,accel_x_g,accel_y_g,accel_z_g,ir_adc,gt_x_mm,gt_y_mm,gt_heading_deg,gt_speed_mm_s,recon_x_mm,recon_y_mm
0,3576,20,0.2928,-0.5172,-0.0013,0.985,45166,11672.38,23369.63,15.86,3028.1,30.28,0.17
10,3536,-114,-165.7907,-0.6341,0.0618,1.0066,4022,11703.22,23378.05,14.19,2994.1,60.19,-1.14
20,3484,-192,-247.2184,-0.0003,0.7975,0.9989,4106,11734.62,23386.01,11.72,2950.6,89.55,-4.11
30,3484,-170,-176.0301,0.0239,0.7947,1.0038,4049,11766.81,23392.26,9.96,2949.7,118.8,-8.02
40,3484,-97,-98.2724,0.434,0.7709,0.9939,3817,11799.77,23396.86,8.97,2950.7,148.03,-12.05
50,3556,34,59.9492,0.4577,-0.01,0.9991,3942,11833.05,23402.1,9.57,3010.2,177.96,-15.24
60,3585,125,112.419,-0.6328,0.0065,1.0048,3875,11866.67,23408.12,10.69,3034.4,208.26,-17.26
70,3535,126,38.7273,-0.6389,0.0234,0.9918,3781,11900.66,23414.72,11.07,2993.2,238.16,-18.8
80,3437,-4,-229.6167,-0.0121,0.8114,0.9991,3716,11935.1,23421.42,8.77,2909.2,267.13,-21.7
90,3435,-102,-303.6136,0.0094,0.7997,0.9968,4144,11970.23,23426.36,5.73,2907.4,295.78,-26.7
100,3439,-182,-317.409,0.443,0.7915,0.9917,4190,12006.17,23427.96,2.56,2909.7,323.99,-33.91
110,3508,-157,-132.4445,0.4419,-0.0029,0.9816,3784,12042.56,23428.91,1.23,2969.9,352.5,-42.28
120,3543,-79,29.8068,0.449,0.0026,1.0017,4216,12079.38,23429.74,1.52,2999.6,381.39,-50.42
130,3612,12,90.7468,0.4583,0.0788,1.0123,3995,12116.61,23431.08,2.43,3058.1,411.09,-57.68
140,3679,83,41.4145,0.4505,0.4272,0.9887,3970,12154.22,23433.29,2.84,3115.5,441.58,-64.12
150,3780,110,-20.013,0.4257,0.4632,1.0056,3891,12192.3,23434.93,2.64,3199.6,472.96,-70.44
160,3844,54,-118.9749,0.439,0.2315,1.0136,3911,12230.88,23436.08,1.44,3254.5,504.7,-77.71
170,3908,-33,-123.7182,0.4518,-0.0121,1.0089,4000,12269.9,23436.67,0.2,3308.5,536.6,-86.5
180,3971,-132,-137.683,0.4366,-0.0012,1.0032,4349,12309.37,23436.31,-1.18,3361.6,568.56,-96.97
190,4033,-149,-61.875,0.4651,0.0071,1.0005,3896,12349.28,23435.21,-1.8,3413.9,600.78,-108.31
200,4093,-66,57.8707,0.47,-0.0061,1.0032,3687,12389.63,23434.08,-1.22,3465.4,633.7,-119.15
210,4153,67,141.8724,0.4643,-0.0004,0.9888,4091,12430.43,23433.69,0.19,3516.1,667.6,-128.49
220,4212,157,129.5809,0.4612,0.0009,1.007,4254,12471.67,23434.33,1.49,3566.2,702.39,-136.41
230,4271,140,25.005,0.4523,-0.003,1.0011,4296,12513.36,23435.59,1.73,3615.5,737.73,-144.11
240,4328,19,-100.3839,0.4448,-0.0173,1.003,4045,12555.48,23436.55,0.73,3664.2,773.24,-153.17
250,4385,-120,-154.6319,0.44,0.0052,0.998,3704,12597.98,23436.51,-0.82,3712.2,808.67,-164.28
260,4440,-172,-93.565,0.4552,0.0049,0.9942,4080,12640.57,23435.48,-1.76,3759.6,844.17,-176.72
270,4495,-95,37.5882,0.4501,0.0227,0.9814,4139,12683.16,23434.23,-1.39,3806.4,880.26,-188.83
280,4550,55,140.99,0.45,0.0224,0.9956,4070,12725.75,23433.68,0.02,3852.7,917.34,-199.26
290,4630,166,139.7005,0.4473,0.002,0.9789,4400,12768.34,23434.25,1.41,3921.0,955.56,-208.04
300,4686,155,34.6459,0.4531,0.0316,0.9913,3701,12810.93,23435.51,1.75,3966.0,994.35,-216.48
310,4737,31,-95.9589,0.4631,-0.0026,0.984,3913,12853.52,23436.53,0.79,4010.4,1033.24,-226.29
320,4789,-123,-154.9107,0.4499,0.014,1.0213,4112,12896.11,23436.54,-0.76,4054.3,1071.95,-238.35
330,4839,-185,-98.3428,0.4507,0.005,1.0058,3905,12938.7,23435.54,-1.75,4097.8,1110.65,-251.87
